rosbagTimestamp,x,y,z
1540580412180025058,-124.796058655,-6.69671201706,-10.256567955
1540580412225230767,-124.801712036,-6.68471240997,-10.2336158752
1540580412266248579,-124.850234985,-6.67989253998,-10.218211174
1540580412307049399,-124.955543518,-6.69616413116,-10.1683588028
1540580412352414305,-125.028686523,-6.70923280716,-10.1359205246
1540580412393082604,-125.074401855,-6.73544073105,-10.1211652756
1540580412433884805,-125.083847046,-6.7360959053,-10.1203451157
1540580412479538382,-125.083122253,-6.74225091934,-10.1236057281
1540580412520457529,-125.073661804,-6.74159526825,-10.1244287491
1540580412561086847,-125.044418335,-6.71386814117,-10.1288290024
1540580412606272832,-125.006904602,-6.71034669876,-10.130698204
1540580412647193055,-124.96686554,-6.70074987411,-10.1300363541
1540580412692019912,-124.905731201,-6.68287563324,-10.1270675659
1540580412732970063,-124.84311676,-6.67729949951,-10.1306257248
1540580412773951520,-124.79801178,-6.63840389252,-10.1544046402
1540580412822111650,-124.828010559,-6.584420681,-10.1545448303
1540580412859983484,-124.934196472,-6.56236743927,-10.1477880478
1540580412901425742,-125.075126648,-6.57815885544,-10.1337099075
1540580412946219552,-125.100318909,-6.65901041031,-10.1179084778
1540580412987509294,-125.047920227,-6.7235121727,-10.109500885
1540580413028261622,-124.964378357,-6.74482822418,-10.1059455872
1540580413075691275,-124.916679382,-6.74680662155,-10.1119117737
1540580413113987954,-124.98135376,-6.72742509842,-10.1109008789
1540580413159783315,-125.067192078,-6.7565703392,-10.1568107605
1540580413200707568,-125.127342224,-6.81118106842,-10.2261657715
1540580413241633653,-125.131980896,-6.86450433731,-10.2771978378
1540580413286524622,-125.095214844,-6.92695236206,-10.3217887878
1540580413327306100,-125.074989319,-6.99112892151,-10.3498306274
1540580413368106642,-125.106773376,-7.05690193176,-10.3491849899
1540580413413151483,-125.139427185,-7.11975908279,-10.3390388489
1540580413453979664,-125.171325684,-7.15672588348,-10.3784666061
1540580413499047156,-125.182418823,-7.19497489929,-10.444735527
1540580413539859260,-125.169380188,-7.23477554321,-10.4433107376
1540580413580618990,-125.180175781,-7.1987195015,-10.3759737015
1540580413626531500,-125.151939392,-7.22134447098,-10.3431911469
1540580413667779464,-125.09475708,-7.27253341675,-10.3762521744
1540580413708375323,-125.047653198,-7.26500892639,-10.3853693008
1540580413753232822,-125.016998291,-7.25276088715,-10.3902397156
1540580413793559598,-124.972312927,-7.230032444,-10.3833293915
1540580413838929043,-124.939178467,-7.26166343689,-10.4117774963
1540580413879929856,-124.918876648,-7.29710054398,-10.4324026108
1540580413920693339,-124.991744995,-7.22959184647,-10.3258981705
1540580413966675105,-125.07069397,-7.1807179451,-10.244093895
1540580414006735392,-125.060974121,-7.2958574295,-10.2817049026
1540580414047692538,-125.033859253,-7.44747638702,-10.2929525375
1540580414092691946,-125.079673767,-7.52818775177,-10.2038011551
1540580414134248371,-125.330795288,-7.4858288765,-9.98776721954
1540580414175203944,-125.609573364,-6.22437620163,-9.80081748962
1540580414220067492,-125.580329895,-6.0943069458,-10.0834417343
1540580414264987454,-125.542266846,-6.28564453125,-10.5726575851
1540580414305763442,-125.57359314,-6.49885845184,-11.2643976212
1540580414351904830,-125.694816589,-6.86547088623,-11.4168481827
1540580414392412077,-126.04624176,-7.02998304367,-11.1711835861
1540580414433055713,-126.497184753,-7.32417154312,-10.5165786743
1540580414478642604,-126.912971497,-7.56224393845,-9.75170898438
1540580414519122493,-127.335906982,-7.80788898468,-9.00654506683
1540580414559576833,-127.549491882,-8.11194324493,-8.80646705627
1540580414604777286,-127.544326782,-8.41068840027,-8.82263851166
1540580414645791662,-127.361740112,-8.6426525116,-8.88054656982
1540580414686707642,-127.010116577,-8.90778636932,-8.88924217224
1540580414731588072,-126.704483032,-9.07277107239,-8.8514547348
1540580414773277649,-126.394424438,-9.24380493164,-8.70805358887
1540580414818443241,-125.995223999,-9.35541057587,-8.52164840698
1540580414858915477,-125.355300903,-9.56728363037,-8.34541130066
1540580414900187518,-124.916885376,-9.68082046509,-8.33172416687
1540580414945115935,-124.594017029,-9.7648525238,-8.35247802734
1540580414985804345,-124.394340515,-9.91638755798,-8.41803359985
1540580415026935690,-124.29561615,-10.1361637115,-8.4206199646
1540580415071780702,-124.137435913,-10.2946033478,-8.26344108582
1540580415112763185,-123.935783386,-10.4243526459,-8.16025447845
1540580415154292733,-123.669212341,-10.5923128128,-8.11808300018
1540580415199217708,-123.402435303,-10.785908699,-8.09066581726
1540580415239776123,-123.108345032,-11.0047502518,-8.00172519684
1540580415284694614,-122.882331848,-11.1428976059,-7.8281993866
1540580415326021529,-122.672790527,-11.26055336,-7.66531515121
1540580415366676269,-122.466621399,-11.477388382,-7.46883106232
1540580415411415598,-122.308692932,-11.7983217239,-7.29187393188
1540580415452546342,-122.28086853,-12.1226263046,-7.083132267
1540580415493481426,-122.224967957,-12.3639373779,-6.76001310349
1540580415538547081,-122.166313171,-12.4967346191,-6.56138801575
1540580415579457797,-122.071716309,-12.6366481781,-6.48416471481
1540580415624541833,-121.932540894,-12.7914333344,-6.54227495193
1540580415665934026,-121.741722107,-12.892531395,-6.61034917831
1540580415708234771,-121.484733582,-13.0501346588,-6.59162521362
1540580415751258624,-121.302520752,-13.1999092102,-6.55807924271
1540580415793001206,-121.118736267,-13.4713144302,-6.55406427383
1540580415833781639,-120.988319397,-13.6334896088,-6.52884721756
1540580415878517375,-120.842353821,-13.6151857376,-6.49197006226
1540580415920181269,-120.63861084,-13.4737224579,-6.60321950912
1540580415964895501,-120.373764038,-13.3885908127,-6.82881259918
1540580416005648936,-120.078781128,-13.1737270355,-7.25130939484
1540580416046402311,-119.996055603,-13.0044517517,-7.73305559158
1540580416091423669,-119.999382019,-12.7594308853,-8.13320827484
1540580416132663093,-119.93674469,-12.7356233597,-8.14506816864
1540580416173335845,-119.898193359,-12.6862459183,-8.13020515442
1540580416218593123,-119.938591003,-12.564909935,-8.21558475494
1540580416259291115,-119.976676941,-12.416384697,-8.31788444519
1540580416301169123,-120.000488281,-12.2250766754,-8.38124084473
1540580416345244289,-120.022407532,-11.9153881073,-8.46513843536
1540580416386341043,-120.064849854,-11.6849622726,-8.56791305542
1540580416431538379,-120.132110596,-11.5395689011,-8.66817188263
1540580416472983793,-120.164878845,-11.474697113,-8.73910617828
1540580416513330859,-120.170333862,-11.4651966095,-8.81382369995
1540580416558398343,-120.152824402,-11.4463720322,-8.84588050842
1540580416599327081,-120.135864258,-11.4475622177,-8.85707950592
1540580416640182051,-120.139434814,-11.4368143082,-8.89085674286
1540580416685670053,-120.193008423,-11.4677391052,-8.92543411255
1540580416730733826,-120.259727478,-11.5309581757,-8.96054458618
1540580416771368639,-120.296890259,-11.5934782028,-8.95075798035
1540580416816468059,-120.329376221,-11.6811666489,-8.89979457855
1540580416858177722,-120.324440002,-11.7627830505,-8.82625961304
1540580416898327907,-120.301269531,-11.8569059372,-8.81952095032
1540580416943323607,-120.199691772,-11.9778308868,-8.84799671173
1540580416984366654,-120.065635681,-12.0436239243,-8.78457546234
1540580417025391771,-120.043457031,-12.1156005859,-8.52994155884
1540580417070228480,-120.169380188,-12.3154125214,-7.93871212006
1540580417111321420,-120.251304626,-13.0096445084,-7.49471616745
1540580417156290415,-120.427848816,-13.8847322464,-7.01797914505
1540580417197477510,-120.742851257,-14.9299612045,-6.33074712753
1540580417238444252,-121.036132812,-16.5877170563,-5.12485408783
1540580417283569083,-121.041213989,-17.0804080963,-4.17324972153
1540580417324278562,-121.045326233,-17.3052272797,-3.27897882462
1540580417365438102,-121.069297791,-17.5058116913,-2.54484581947
1540580417410321820,-121.121894836,-17.4696178436,-2.11010837555
1540580417451504212,-121.213302612,-17.70586586,-1.95299756527
1540580417492049993,-121.39491272,-18.210144043,-1.7121732235
1540580417537300556,-121.64617157,-18.6938896179,-1.21898210049
1540580417578277870,-121.818199158,-18.8764915466,-0.586414158344
1540580417623432860,-121.90259552,-19.2545089722,0.312731027603
1540580417664201014,-121.889686584,-19.5694122314,0.948363304138
1540580417707363914,-121.709709167,-19.8499298096,1.51867580414
1540580417750331904,-121.42766571,-20.2122135162,1.96214056015
1540580417791481888,-121.017562866,-20.7036514282,2.32741618156
1540580417832109746,-120.545806885,-21.0851097107,2.54729127884
1540580417877199774,-120.06161499,-21.4633216858,2.78135490417
1540580417918085036,-119.645118713,-22.1409053802,3.04355049133
1540580417963274434,-119.329353333,-22.7650299072,3.46907281876
1540580418004327052,-118.942558289,-23.0312690735,3.97397947311
1540580418045175712,-118.607208252,-23.397315979,4.41496181488
1540580418090136814,-118.222541809,-23.603433609,4.76496076584
1540580418131175201,-117.858207703,-23.7518806458,5.00403547287
