rosbagTimestamp,joint1,joint2,joint3,joint4,joint5,joint6,joint7
1540323508666959072,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323508764284522,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323508871248359,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323508970015594,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509076532973,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509169755853,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509261663821,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509368552467,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509462960830,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509577075009,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509671352856,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509768286370,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.694946289,0.0
1540323509878362711,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.844940186,0.0
1540323509968388723,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.844940186,0.0
1540323510064082882,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.844940186,0.0
1540323510171520021,269.964447021,189.694091797,96.8513793945,6.40541887283,18.6378593445,356.994934082,0.0
1540323510272673957,269.964447021,189.694091797,97.0513763428,6.40541887283,18.6378593445,357.894897461,0.0
1540323510375530377,269.964447021,189.694091797,97.251373291,6.40541887283,18.6378593445,358.79486084,0.0
1540323510469558919,269.964447021,189.694091797,97.251373291,6.40541887283,18.6378593445,359.244842529,0.0
1540323510568097445,269.964447021,189.694091797,97.251373291,6.40541887283,18.6378593445,359.544830322,0.0
1540323510669986372,269.964447021,189.694091797,97.251373291,6.40541887283,18.6378593445,359.544830322,0.0
1540323510765341709,269.964447021,189.694091797,97.251373291,6.40541887283,18.6378593445,359.544830322,0.0
1540323510864130761,269.964447021,189.694091797,97.251373291,6.40541887283,18.6378593445,359.544830322,0.0
1540323510966226495,269.964447021,189.694091797,97.251373291,6.40541887283,18.6378593445,359.544830322,0.0
1540323511082234178,269.964447021,189.694091797,97.251373291,6.40541887283,18.6378593445,359.394836426,0.0
1540323511172668883,269.964447021,189.694091797,97.1513748169,6.40541887283,18.6378593445,358.494873047,0.0
1540323511264411552,269.964447021,189.694091797,96.7513809204,6.40541887283,18.6378593445,355.345001221,0.0
1540323511366567813,269.964447021,189.694091797,95.6513977051,6.40541887283,18.6378593445,350.845184326,0.0
1540323511466062148,269.964447021,189.694091797,94.4514160156,6.40541887283,18.6378593445,346.345367432,0.0
1540323511566389330,269.964447021,189.694091797,93.3514328003,6.40541887283,18.6378593445,341.845550537,0.0
1540323511672082863,269.964447021,189.694091797,92.4514465332,6.40541887283,18.6378593445,337.195739746,0.0
1540323511774124310,269.964447021,189.694091797,91.5514602661,6.5554189682,18.6378593445,331.645965576,0.0
1540323511862742088,269.964447021,189.694091797,91.2514648438,6.5554189682,18.6378593445,328.196105957,0.0
1540323511964069150,269.964447021,189.694091797,91.0514678955,6.5554189682,18.6378593445,323.696289062,0.0
1540323512066566192,269.964447021,189.694091797,90.9514694214,6.5554189682,18.6378593445,319.346466064,0.0
1540323512171348555,269.964447021,189.694091797,90.9514694214,6.5554189682,18.6378593445,315.146636963,0.0
1540323512272087514,269.964447021,189.694091797,90.9514694214,6.5554189682,18.6378593445,313.046722412,0.0
1540323512372614865,269.964447021,189.694091797,90.9514694214,6.5554189682,18.6378593445,313.346710205,0.0
