Haptic Middle ,,,Haptic Thumb,,,Haptic Pointer,,,Object Placed,
rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data
1.58250318861054E+018,1042,,1.58250318860705E+018,-41,,1.58250318860885E+018,809,,1.5825031928084E+018,0
1.58250318863419E+018,1046,,1.5825031886303E+018,-38,,1.58250318863239E+018,814,,1.58250319290884E+018,0
1.58250318866211E+018,1045,,1.58250318865391E+018,-37,,1.58250318865603E+018,812,,1.58250319300843E+018,0
1.58250318867865E+018,1044,,1.58250318867484E+018,-37,,1.58250318867694E+018,807,,1.58250319310859E+018,0
1.58250318870318E+018,1036,,1.58250318869855E+018,-33,,1.58250318870152E+018,817,,1.58250319320828E+018,0
1.58250318872463E+018,1055,,1.58250318872095E+018,-30,,1.58250318872256E+018,819,,1.58250319330887E+018,0
1.58250318874879E+018,1035,,1.58250318874463E+018,-32,,1.58250318874629E+018,815,,1.58250319340858E+018,0
1.58250318876949E+018,1031,,1.58250318876561E+018,-29,,1.58250318876733E+018,803,,1.58250319350815E+018,0
1.58250318879268E+018,1050,,1.58250318878918E+018,-41,,1.58250318879088E+018,813,,1.58250319360827E+018,0
1.58250318881586E+018,1050,,1.58250318881223E+018,-41,,1.58250318881402E+018,821,,1.58250319370834E+018,0
1.58250318883914E+018,1022,,1.58250318883445E+018,-41,,1.582503188837E+018,816,,1.5825031938084E+018,0
1.58250318886209E+018,1055,,1.5825031888576E+018,-37,,1.58250318885971E+018,816,,1.58250319390826E+018,0
1.58250318888363E+018,1040,,1.58250318887941E+018,-38,,1.58250318888146E+018,811,,1.58250319400825E+018,0
1.58250318890699E+018,1043,,1.58250318890303E+018,-38,,1.58250318890501E+018,814,,1.58250319410837E+018,0
1.58250318893008E+018,1039,,1.58250318892623E+018,-38,,1.58250318892824E+018,818,,1.58250319420849E+018,0
1.58250318895416E+018,1043,,1.58250318894962E+018,-39,,1.58250318895202E+018,808,,1.58250319430836E+018,0
1.58250318897497E+018,1029,,1.58250318897126E+018,-38,,1.58250318897313E+018,809,,1.58250319440904E+018,0
1.58250318899813E+018,1025,,1.5825031889943E+018,-36,,1.58250318899633E+018,822,,1.58250319450903E+018,0
1.58250318902158E+018,1045,,1.58250318901742E+018,-33,,1.58250318901943E+018,816,,1.58250319460863E+018,0
1.58250318904423E+018,1043,,1.58250318904055E+018,-38,,1.58250318904227E+018,808,,1.58250319470903E+018,0
1.58250318906528E+018,1047,,1.58250318906142E+018,-40,,1.58250318906527E+018,805,,1.58250319480853E+018,0
1.58250318909023E+018,1051,,1.58250318908612E+018,-37,,1.58250318908835E+018,817,,1.58250319490844E+018,0
1.58250318911186E+018,1047,,1.58250318910823E+018,-34,,1.5825031891099E+018,807,,1.58250319500883E+018,0
1.58250318913513E+018,1052,,1.58250318913068E+018,-48,,1.58250318913288E+018,810,,1.58250319510834E+018,0
1.58250318915834E+018,1044,,1.5825031891542E+018,-39,,1.58250318915647E+018,800,,1.58250319520827E+018,0
1.58250318917995E+018,1048,,1.58250318917623E+018,-40,,1.58250318917821E+018,806,,1.58250319530866E+018,0
1.58250318920272E+018,1037,,1.58250318919908E+018,-37,,1.58250318920093E+018,814,,1.58250319540891E+018,0
1.58250318922677E+018,1030,,1.58250318922192E+018,-40,,1.58250318922447E+018,818,,1.58250319550835E+018,0
1.58250318924932E+018,1014,,1.58250318924568E+018,-35,,1.58250318924742E+018,812,,1.58250319560841E+018,0
1.58250318927255E+018,1030,,1.58250318926818E+018,-38,,1.58250318927043E+018,816,,1.58250319570886E+018,0
1.58250318929453E+018,1040,,1.58250318929015E+018,-44,,1.58250318929277E+018,808,,1.58250319580834E+018,0
1.58250318931727E+018,1040,,1.58250318931349E+018,-44,,1.5825031893153E+018,814,,1.58250319590859E+018,0
1.5825031893406E+018,1044,,1.58250318933687E+018,-42,,1.58250318933881E+018,810,,1.58250319600859E+018,0
1.58250318936317E+018,1041,,1.58250318935869E+018,-38,,1.582503189361E+018,823,,1.58250319610841E+018,0
1.58250318938658E+018,1040,,1.58250318938177E+018,-37,,1.58250318938415E+018,811,,1.58250319620871E+018,0
1.58250318940786E+018,1047,,1.58250318940401E+018,-37,,1.58250318940593E+018,812,,1.58250319630851E+018,0
1.58250318943113E+018,1030,,1.5825031894272E+018,-35,,1.58250318942922E+018,818,,1.58250319640846E+018,0
1.58250318945433E+018,1034,,1.5825031894502E+018,-42,,1.58250318945199E+018,813,,1.58250319650846E+018,0
1.58250318947559E+018,1050,,1.5825031894717E+018,-38,,1.58250318947385E+018,812,,1.5825031966085E+018,0
1.58250318949916E+018,1039,,1.58250318949532E+018,-40,,1.582503189497E+018,807,,1.58250319670838E+018,0
1.58250318952222E+018,1035,,1.58250318951801E+018,-41,,1.58250318951993E+018,808,,1.58250319680874E+018,0
1.58250318954479E+018,1016,,1.5825031895414E+018,-42,,1.582503189543E+018,809,,1.58250319690832E+018,0
1.58250318956821E+018,1044,,1.5825031895643E+018,-36,,1.58250318956615E+018,807,,1.58250319700814E+018,0
1.58250318959014E+018,1052,,1.58250318958649E+018,-38,,1.58250318958821E+018,807,,1.58250319710827E+018,0
1.58250318961328E+018,1053,,1.58250318960997E+018,-40,,1.58250318961166E+018,802,,1.58250319720867E+018,0
1.58250318963714E+018,1047,,1.58250318963223E+018,-35,,1.58250318963455E+018,799,,1.5825031973082E+018,0
1.5825031896599E+018,1052,,1.58250318965575E+018,-35,,1.58250318965832E+018,814,,1.58250319740868E+018,0
1.58250318968117E+018,1048,,1.58250318967742E+018,-35,,1.58250318967921E+018,818,,1.58250319750811E+018,0
1.5825031897056E+018,1041,,1.58250318970041E+018,-33,,1.58250318970283E+018,811,,1.58250319760799E+018,0
1.5825031897288E+018,1046,,1.58250318972388E+018,-38,,1.58250318972663E+018,807,,1.5825031977085E+018,0
1.58250318975018E+018,1037,,1.58250318974637E+018,-36,,1.58250318974829E+018,811,,1.58250319780852E+018,0
1.58250318977258E+018,1035,,1.5825031897686E+018,-33,,1.58250318977026E+018,811,,1.58250319790839E+018,0
1.5825031897978E+018,1037,,1.58250318979116E+018,-45,,1.58250318979549E+018,815,,1.58250319800859E+018,0
1.58250318981794E+018,1031,,1.58250318981376E+018,-39,,1.58250318981574E+018,819,,1.58250319810847E+018,0
1.58250318984012E+018,1048,,1.58250318983663E+018,-39,,1.58250318983836E+018,813,,1.58250319820855E+018,0
1.58250318986578E+018,1036,,1.5825031898604E+018,-42,,1.58250318986407E+018,815,,1.58250319830867E+018,0
1.58250318988646E+018,1040,,1.58250318988281E+018,-38,,1.58250318988479E+018,815,,1.58250319840839E+018,0
1.58250318990958E+018,1058,,1.58250318990548E+018,-41,,1.58250318990724E+018,812,,1.5825031985084E+018,0
1.58250318993252E+018,1035,,1.58250318992853E+018,-41,,1.58250318993051E+018,810,,1.5825031986082E+018,0
1.58250318995532E+018,1039,,1.58250318995169E+018,-41,,1.58250318995342E+018,807,,1.58250319870836E+018,0
1.58250318997752E+018,1039,,1.58250318997313E+018,-41,,1.58250318997514E+018,802,,1.58250319880844E+018,0
1.58250319000111E+018,1055,,1.5825031899972E+018,-33,,1.58250318999938E+018,808,,1.58250319890812E+018,0
