Haptic Middle ,,,Haptic Thumb,,,Haptic Pointer,,,Object Placed,
rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data,,rosbagTimestamp,data
1.58250320211519E+018,1051,,1.58250320211176E+018,-44,,1.58250320211335E+018,793,,,
1.58250320214022E+018,1076,,1.58250320213516E+018,-38,,1.58250320213749E+018,792,,,
1.58250320216163E+018,1049,,1.58250320215783E+018,-33,,1.58250320216003E+018,799,,,
1.58250320218458E+018,1049,,1.58250320218071E+018,-41,,1.58250320218263E+018,802,,,
1.58250320220538E+018,1041,,1.58250320220236E+018,-42,,1.58250320220379E+018,798,,,
1.5825032022297E+018,1024,,1.5825032022267E+018,-38,,1.58250320222827E+018,794,,,
1.58250320225156E+018,1026,,1.58250320224839E+018,-34,,1.58250320224972E+018,793,,,
1.58250320227426E+018,1038,,1.58250320227125E+018,-38,,1.58250320227286E+018,801,,,
1.58250320229721E+018,1039,,1.5825032022943E+018,-39,,1.58250320229581E+018,801,,,
1.58250320232161E+018,1023,,1.58250320231745E+018,-41,,1.5825032023194E+018,798,,,
1.58250320234509E+018,1035,,1.58250320234063E+018,-40,,1.5825032023427E+018,805,,,
1.58250320236639E+018,1044,,1.58250320236235E+018,-42,,1.58250320236461E+018,801,,,
1.58250320238791E+018,1036,,1.58250320238508E+018,-46,,1.58250320238655E+018,801,,,
1.58250320241158E+018,1048,,1.58250320240819E+018,-44,,1.58250320240995E+018,799,,,
1.5825032024344E+018,1057,,1.58250320243127E+018,-40,,1.5825032024328E+018,794,,,
1.58250320245649E+018,1048,,1.58250320245274E+018,-43,,1.58250320245447E+018,786,,,
1.58250320247921E+018,1059,,1.58250320247569E+018,-47,,1.58250320247733E+018,797,,,
1.58250320250086E+018,1053,,1.58250320249823E+018,-38,,1.58250320249951E+018,797,,,
1.58250320252431E+018,1057,,1.58250320252161E+018,-45,,1.5825032025232E+018,793,,,
1.58250320254874E+018,1053,,1.5825032025447E+018,-34,,1.58250320254663E+018,793,,,
1.5825032025722E+018,1049,,1.5825032025681E+018,-45,,1.58250320257012E+018,796,,,
1.58250320259471E+018,1035,,1.58250320259087E+018,-45,,1.58250320259255E+018,791,,,
1.58250320261746E+018,1015,,1.58250320261353E+018,-49,,1.58250320261544E+018,804,,,
1.58250320264014E+018,1047,,1.58250320263656E+018,-45,,1.58250320263827E+018,803,,,
1.58250320266166E+018,1047,,1.58250320265797E+018,-41,,1.58250320265975E+018,800,,,
1.58250320268533E+018,1056,,1.58250320268143E+018,-35,,1.58250320268326E+018,797,,,
1.5825032027103E+018,1027,,1.582503202705E+018,-30,,1.58250320270736E+018,789,,,
1.58250320273165E+018,1029,,1.58250320272822E+018,-38,,1.58250320272984E+018,798,,,
1.58250320275361E+018,1042,,1.58250320274939E+018,-43,,1.58250320275143E+018,798,,,
1.58250320277661E+018,1053,,1.58250320277217E+018,-39,,1.58250320277461E+018,801,,,
1.5825032028007E+018,1045,,1.58250320279614E+018,-39,,1.58250320279839E+018,806,,,
1.58250320282179E+018,1043,,1.58250320281839E+018,-44,,1.58250320282E+018,798,,,
1.58250320284266E+018,1063,,1.58250320283992E+018,-40,,1.58250320284127E+018,797,,,
1.58250320286544E+018,1068,,1.58250320286272E+018,-40,,1.58250320286405E+018,796,,,
1.58250320288964E+018,1063,,1.58250320288567E+018,-45,,1.58250320288764E+018,792,,,
1.58250320291258E+018,1048,,1.58250320290872E+018,-40,,1.58250320291055E+018,805,,,
1.58250320293536E+018,1060,,1.5825032029315E+018,-49,,1.58250320293326E+018,795,,,
1.58250320295887E+018,1052,,1.58250320295461E+018,-39,,1.58250320295685E+018,803,,,
1.5825032029805E+018,1040,,1.58250320297703E+018,-45,,1.58250320297902E+018,799,,,
1.58250320300249E+018,1062,,1.58250320299965E+018,-44,,1.582503203001E+018,797,,,
1.58250320302504E+018,1064,,1.58250320302242E+018,-40,,1.58250320302375E+018,797,,,
1.58250320304781E+018,1060,,1.58250320304483E+018,-42,,1.58250320304619E+018,807,,,
1.58250320307101E+018,1049,,1.58250320306839E+018,-47,,1.58250320306966E+018,800,,,
1.58250320309425E+018,1025,,1.58250320309086E+018,-43,,1.58250320309257E+018,808,,,
1.58250320311639E+018,1055,,1.58250320311353E+018,-45,,1.58250320311492E+018,795,,,
1.58250320313844E+018,1061,,1.58250320313564E+018,-37,,1.58250320313713E+018,789,,,
1.58250320316195E+018,1053,,1.58250320315872E+018,-43,,1.58250320316025E+018,797,,,
1.58250320318519E+018,1053,,1.58250320318226E+018,-43,,1.58250320318371E+018,800,,,
1.58250320320866E+018,1053,,1.58250320320511E+018,-47,,1.58250320320686E+018,803,,,
1.58250320323055E+018,1043,,1.58250320322692E+018,-49,,1.58250320322883E+018,799,,,
1.58250320325305E+018,1038,,1.58250320324953E+018,-49,,1.58250320325116E+018,801,,,
1.58250320327752E+018,1061,,1.58250320327418E+018,-47,,1.58250320327594E+018,793,,,
1.58250320329895E+018,1057,,1.58250320329577E+018,-47,,1.58250320329738E+018,793,,,
1.58250320332229E+018,1060,,1.58250320331855E+018,-45,,1.58250320332053E+018,789,,,
1.58250320334327E+018,1049,,1.58250320334031E+018,-34,,1.58250320334182E+018,804,,,
1.58250320336697E+018,1044,,1.58250320336396E+018,-37,,1.58250320336546E+018,788,,,
1.58250320339097E+018,1028,,1.58250320338742E+018,-39,,1.58250320338913E+018,795,,,
1.58250320341339E+018,1050,,1.58250320340975E+018,-39,,1.58250320341151E+018,795,,,
1.58250320343723E+018,1042,,1.58250320343267E+018,-46,,1.58250320343538E+018,799,,,
1.58250320345802E+018,1040,,1.58250320345512E+018,-50,,1.58250320345644E+018,797,,,
1.58250320348078E+018,1047,,1.58250320347821E+018,-39,,1.5825032034795E+018,800,,,
1.58250320350371E+018,1050,,1.58250320350113E+018,-41,,1.58250320350243E+018,806,,,
1.58250320352546E+018,1053,,1.5825032035223E+018,-46,,1.58250320352383E+018,802,,,
1.58250320355059E+018,1053,,1.58250320354587E+018,-42,,1.5825032035487E+018,796,,,
1.58250320357251E+018,1049,,1.58250320356943E+018,-43,,1.58250320357097E+018,795,,,
1.58250320359468E+018,1044,,1.58250320359189E+018,-44,,1.58250320359327E+018,797,,,
1.58250320361685E+018,1030,,1.58250320361377E+018,-40,,1.58250320361516E+018,794,,,
1.58250320364165E+018,1034,,1.58250320363787E+018,-44,,1.5825032036397E+018,800,,,
1.58250320366448E+018,1030,,1.58250320365997E+018,-41,,1.58250320366212E+018,800,,,
1.58250320368606E+018,1034,,1.5825032036829E+018,-42,,1.58250320368444E+018,796,,,
1.58250320370834E+018,1042,,1.58250320370505E+018,-46,,1.58250320370667E+018,793,,,
1.58250320373034E+018,1036,,1.58250320372742E+018,-39,,1.58250320372882E+018,797,,,
1.58250320375463E+018,1036,,1.58250320375188E+018,-42,,1.58250320375285E+018,796,,,
1.58250320377628E+018,1026,,1.58250320377361E+018,-42,,1.58250320377494E+018,801,,,
1.58250320379906E+018,1036,,1.58250320379611E+018,-48,,1.58250320379755E+018,792,,,
1.58250320382263E+018,1048,,1.58250320381942E+018,-48,,1.58250320382105E+018,794,,,
1.5825032038447E+018,1027,,1.58250320384138E+018,-42,,1.58250320384295E+018,796,,,
1.58250320386805E+018,1030,,1.58250320386465E+018,-47,,1.5825032038662E+018,796,,,
1.58250320389134E+018,1034,,1.58250320388801E+018,-36,,1.58250320388957E+018,804,,,
1.58250320391256E+018,1046,,1.58250320390964E+018,-38,,1.58250320391115E+018,794,,,
1.58250320393535E+018,1054,,1.58250320393229E+018,-44,,1.58250320393384E+018,796,,,
1.5825032039593E+018,1053,,1.58250320395622E+018,-40,,1.58250320395778E+018,794,,,
1.58250320398203E+018,1045,,1.58250320397883E+018,-36,,1.58250320398044E+018,805,,,
1.58250320400345E+018,1049,,1.58250320400059E+018,-40,,1.58250320400194E+018,801,,,
1.58250320402785E+018,1037,,1.58250320402373E+018,-47,,1.58250320402582E+018,799,,,
1.5825032040514E+018,1042,,1.58250320404675E+018,-48,,1.58250320404972E+018,803,,,
1.58250320407464E+018,1041,,1.58250320407096E+018,-40,,1.58250320407292E+018,797,,,
1.58250320409443E+018,1038,,1.58250320409189E+018,-52,,1.58250320409322E+018,800,,,
1.58250320411704E+018,1058,,1.58250320411424E+018,-44,,1.58250320411563E+018,796,,,
1.58250320413989E+018,1062,,1.58250320413735E+018,-42,,1.58250320413866E+018,794,,,
1.5825032041636E+018,1049,,1.58250320416101E+018,-46,,1.58250320416224E+018,799,,,
1.58250320418683E+018,1048,,1.58250320418393E+018,-46,,1.58250320418523E+018,786,,,
1.58250320420771E+018,1028,,1.58250320420517E+018,-38,,1.58250320420647E+018,794,,,
1.58250320423312E+018,1040,,1.5825032042297E+018,-42,,1.58250320423139E+018,791,,,
1.58250320425686E+018,1054,,1.58250320425242E+018,-42,,1.58250320425505E+018,797,,,
1.58250320427932E+018,1030,,1.58250320427548E+018,-41,,1.58250320427751E+018,798,,,
1.58250320430173E+018,1047,,1.58250320429796E+018,-43,,1.58250320429993E+018,797,,,
1.5825032043223E+018,1037,,1.58250320431935E+018,-39,,1.58250320432072E+018,797,,,
1.58250320434551E+018,1062,,1.5825032043429E+018,-43,,1.58250320434424E+018,807,,,
1.58250320436796E+018,1033,,1.58250320436533E+018,-45,,1.58250320436658E+018,801,,,
1.58250320439031E+018,1042,,1.58250320438764E+018,-43,,1.58250320438896E+018,794,,,
1.58250320441374E+018,1057,,1.58250320441112E+018,-42,,1.58250320441246E+018,790,,,
1.58250320443705E+018,1064,,1.58250320443367E+018,-42,,1.58250320443537E+018,796,,,
1.58250320446244E+018,1047,,1.58250320445758E+018,-44,,1.58250320446004E+018,792,,,
1.58250320448292E+018,1048,,1.58250320448013E+018,-45,,1.58250320448152E+018,792,,,
1.58250320450463E+018,1060,,1.58250320450204E+018,-44,,1.58250320450338E+018,794,,,
1.5825032045272E+018,1048,,1.58250320452473E+018,-52,,1.58250320452598E+018,794,,,
1.58250320455103E+018,1032,,1.58250320454817E+018,-47,,1.58250320454952E+018,790,,,
1.58250320457311E+018,1045,,1.58250320457019E+018,-46,,1.5825032045716E+018,792,,,
1.58250320459704E+018,1033,,1.5825032045931E+018,-47,,1.58250320459513E+018,795,,,
1.58250320462102E+018,1037,,1.58250320461684E+018,-43,,1.58250320461861E+018,799,,,
1.58250320464346E+018,1041,,1.58250320463987E+018,-43,,1.58250320464169E+018,803,,,
1.58250320466488E+018,1044,,1.58250320466287E+018,-42,,1.58250320466359E+018,802,,,
1.58250320468579E+018,1039,,1.58250320468328E+018,-45,,1.58250320468456E+018,794,,,
1.58250320470958E+018,1040,,1.58250320470668E+018,-37,,1.58250320470812E+018,802,,,
1.5825032047324E+018,1044,,1.58250320472943E+018,-41,,1.58250320473088E+018,802,,,
1.5825032047555E+018,1027,,1.58250320475273E+018,-42,,1.58250320475415E+018,800,,,
1.58250320477931E+018,1043,,1.58250320477642E+018,-44,,1.58250320477789E+018,801,,,
1.58250320480096E+018,1044,,1.58250320479755E+018,-43,,1.58250320479926E+018,794,,,
1.58250320482643E+018,1043,,1.58250320482142E+018,-40,,1.58250320482414E+018,793,,,
1.58250320484757E+018,1042,,1.58250320484439E+018,-35,,1.58250320484598E+018,797,,,
1.58250320486906E+018,1038,,1.58250320486654E+018,-42,,1.58250320486774E+018,798,,,
1.58250320489148E+018,1040,,1.58250320488876E+018,-47,,1.58250320489016E+018,796,,,
1.58250320491527E+018,1060,,1.58250320491211E+018,-45,,1.58250320491375E+018,801,,,
1.58250320493781E+018,1055,,1.58250320493474E+018,-54,,1.5825032049363E+018,795,,,
1.58250320496156E+018,1051,,1.5825032049584E+018,-43,,1.58250320496004E+018,798,,,
1.58250320498296E+018,1059,,1.58250320498019E+018,-43,,1.58250320498154E+018,802,,,
1.58250320500629E+018,1055,,1.58250320500336E+018,-43,,1.58250320500481E+018,798,,,
1.58250320503009E+018,1047,,1.582503205026E+018,-46,,1.58250320502839E+018,788,,,
1.58250320505407E+018,1038,,1.58250320505038E+018,-37,,1.58250320505235E+018,803,,,
1.58250320507316E+018,1040,,1.58250320507022E+018,-40,,1.58250320507159E+018,795,,,
1.58250320509813E+018,1048,,1.58250320509448E+018,-38,,1.58250320509626E+018,803,,,
1.58250320512073E+018,1046,,1.58250320511742E+018,-42,,1.58250320511885E+018,796,,,
1.58250320514353E+018,1041,,1.58250320514023E+018,-41,,1.58250320514193E+018,796,,,
1.58250320516538E+018,1070,,1.58250320516288E+018,-43,,1.58250320516413E+018,795,,,
1.58250320518691E+018,1049,,1.58250320518428E+018,-39,,1.58250320518555E+018,807,,,
1.58250320521043E+018,1028,,1.58250320520775E+018,-39,,1.58250320520908E+018,806,,,
1.5825032052355E+018,1060,,1.58250320523128E+018,-41,,1.58250320523348E+018,794,,,
1.58250320525748E+018,1044,,1.58250320525437E+018,-47,,1.58250320525593E+018,791,,,
1.58250320527935E+018,1039,,1.58250320527631E+018,-40,,1.58250320527786E+018,789,,,
1.5825032053022E+018,1031,,1.58250320529961E+018,-38,,1.58250320530068E+018,803,,,
1.58250320532547E+018,1022,,1.58250320532212E+018,-38,,1.58250320532383E+018,795,,,
1.58250320534838E+018,1053,,1.5825032053451E+018,-44,,1.58250320534692E+018,798,,,
1.58250320536986E+018,1044,,1.58250320536674E+018,-44,,1.58250320536836E+018,806,,,
1.58250320539208E+018,1041,,1.58250320538919E+018,-42,,1.58250320539059E+018,801,,,
1.58250320541565E+018,1048,,1.58250320541261E+018,-46,,1.58250320541411E+018,805,,,
1.58250320543957E+018,1036,,1.58250320543596E+018,-47,,1.58250320543802E+018,794,,,
1.58250320546123E+018,1033,,1.58250320545767E+018,-43,,1.58250320545973E+018,790,,,
1.58250320548374E+018,1033,,1.58250320548091E+018,-40,,1.58250320548231E+018,790,,,
1.58250320550669E+018,1034,,1.58250320550376E+018,-39,,1.58250320550519E+018,798,,,
1.58250320552975E+018,1027,,1.58250320552699E+018,-39,,1.58250320552837E+018,794,,,
1.5825032055539E+018,1039,,1.58250320555042E+018,-44,,1.58250320555194E+018,791,,,
1.58250320557464E+018,1050,,1.58250320557162E+018,-41,,1.58250320557311E+018,788,,,
1.58250320559709E+018,1053,,1.58250320559423E+018,-41,,1.58250320559563E+018,787,,,
1.58250320562032E+018,1045,,1.5825032056173E+018,-41,,1.58250320561866E+018,796,,,
1.58250320564372E+018,1063,,1.58250320564064E+018,-43,,1.58250320564224E+018,788,,,
1.58250320566618E+018,1055,,1.58250320566323E+018,-40,,1.58250320566469E+018,795,,,
1.58250320568876E+018,1042,,1.58250320568576E+018,-36,,1.58250320568717E+018,804,,,
1.58250320571206E+018,1051,,1.58250320570904E+018,-44,,1.58250320571048E+018,800,,,
1.58250320573483E+018,1066,,1.58250320573164E+018,-39,,1.5825032057332E+018,797,,,
1.58250320575723E+018,1042,,1.58250320575364E+018,-42,,1.58250320575551E+018,790,,,
1.58250320578078E+018,1045,,1.58250320577795E+018,-38,,1.58250320577885E+018,794,,,
1.58250320580272E+018,1048,,1.58250320579967E+018,-38,,1.58250320580115E+018,799,,,
1.58250320582632E+018,1040,,1.5825032058231E+018,-42,,1.58250320582494E+018,796,,,
1.58250320584851E+018,1064,,1.58250320584513E+018,-40,,1.58250320584672E+018,797,,,
1.58250320587236E+018,1049,,1.58250320586863E+018,-39,,1.58250320587156E+018,796,,,
1.58250320589373E+018,1035,,1.58250320589089E+018,-39,,1.58250320589234E+018,792,,,
1.58250320591652E+018,1047,,1.5825032059137E+018,-37,,1.58250320591512E+018,789,,,
1.58250320593951E+018,1039,,1.58250320593646E+018,-37,,1.58250320593799E+018,797,,,
1.58250320596254E+018,1046,,1.58250320595927E+018,-36,,1.58250320596104E+018,793,,,
1.58250320598634E+018,1042,,1.58250320598246E+018,-42,,1.58250320598433E+018,797,,,
1.58250320600773E+018,1038,,1.58250320600463E+018,-46,,1.58250320600611E+018,790,,,
1.58250320603065E+018,1057,,1.58250320602746E+018,-39,,1.58250320602909E+018,796,,,
1.58250320605377E+018,1052,,1.58250320605E+018,-39,,1.58250320605165E+018,793,,,
1.58250320607599E+018,1049,,1.58250320607301E+018,-48,,1.58250320607445E+018,801,,,
1.58250320610114E+018,1033,,1.58250320609672E+018,-52,,1.58250320609918E+018,793,,,
1.58250320612243E+018,1045,,1.58250320611864E+018,-44,,1.58250320612056E+018,786,,,
1.58250320614459E+018,1051,,1.58250320614129E+018,-40,,1.58250320614299E+018,796,,,
1.58250320616683E+018,1043,,1.58250320616348E+018,-42,,1.58250320616519E+018,793,,,
1.58250320618964E+018,1038,,1.58250320618674E+018,-43,,1.58250320618816E+018,793,,,
1.5825032062127E+018,1055,,1.58250320621E+018,-35,,1.58250320621141E+018,803,,,
1.5825032062347E+018,1051,,1.58250320623209E+018,-37,,1.58250320623342E+018,800,,,
1.58250320625826E+018,1052,,1.58250320625513E+018,-38,,1.58250320625656E+018,801,,,
1.58250320628016E+018,1037,,1.58250320627721E+018,-46,,1.58250320627852E+018,796,,,
1.58250320630365E+018,1039,,1.58250320630098E+018,-39,,1.58250320630229E+018,796,,,
1.5825032063269E+018,1034,,1.5825032063234E+018,-43,,1.58250320632531E+018,798,,,
1.58250320634882E+018,1042,,1.58250320634558E+018,-43,,1.58250320634709E+018,796,,,
1.58250320637218E+018,1036,,1.58250320636921E+018,-43,,1.58250320637066E+018,796,,,
1.58250320639524E+018,1059,,1.58250320639209E+018,-44,,1.58250320639369E+018,786,,,
1.58250320641966E+018,1039,,1.58250320641672E+018,-41,,1.58250320641778E+018,790,,,
1.58250320643957E+018,1037,,1.58250320643657E+018,-45,,1.58250320643804E+018,794,,,
1.58250320646313E+018,1044,,1.58250320645985E+018,-49,,1.58250320646129E+018,794,,,
1.58250320648629E+018,1038,,1.58250320648257E+018,-52,,1.58250320648426E+018,802,,,
1.58250320650883E+018,1047,,1.58250320650617E+018,-43,,1.58250320650744E+018,794,,,
1.58250320653004E+018,1039,,1.58250320652729E+018,-48,,1.58250320652864E+018,806,,,
1.58250320655344E+018,1035,,1.58250320655065E+018,-40,,1.58250320655206E+018,802,,,
1.5825032065773E+018,1047,,1.58250320657433E+018,-42,,1.5825032065758E+018,802,,,
1.58250320659915E+018,1052,,1.58250320659629E+018,-46,,1.58250320659785E+018,796,,,
1.58250320662592E+018,1037,,1.58250320662137E+018,-42,,1.58250320662328E+018,793,,,
1.5825032066449E+018,1046,,1.58250320664151E+018,-39,,1.58250320664331E+018,793,,,
1.58250320666709E+018,1039,,1.58250320666456E+018,-41,,1.5825032066658E+018,793,,,
1.58250320669112E+018,1056,,1.58250320668845E+018,-45,,1.5825032066898E+018,794,,,
1.58250320671291E+018,1048,,1.58250320671005E+018,-43,,1.5825032067114E+018,794,,,
1.58250320673786E+018,1051,,1.58250320673262E+018,-44,,1.58250320673449E+018,798,,,
1.58250320675925E+018,1043,,1.58250320675605E+018,-46,,1.5825032067576E+018,794,,,
1.58250320678242E+018,1022,,1.58250320677938E+018,-34,,1.58250320678078E+018,789,,,
1.58250320680434E+018,1047,,1.58250320680134E+018,-40,,1.58250320680295E+018,789,,,
1.58250320682879E+018,1046,,1.58250320682512E+018,-44,,1.58250320682711E+018,789,,,
1.58250320685131E+018,1054,,1.58250320684747E+018,-43,,1.5825032068493E+018,789,,,
1.58250320687482E+018,1043,,1.58250320687084E+018,-47,,1.58250320687274E+018,795,,,
1.58250320689582E+018,1047,,1.58250320689314E+018,-37,,1.5825032068944E+018,791,,,
1.58250320691698E+018,1067,,1.5825032069142E+018,-42,,1.58250320691563E+018,793,,,
1.58250320694078E+018,1051,,1.58250320693785E+018,-44,,1.58250320693923E+018,795,,,
1.58250320696401E+018,1046,,1.58250320696107E+018,-41,,1.58250320696261E+018,803,,,
1.58250320698653E+018,1047,,1.58250320698371E+018,-39,,1.58250320698507E+018,796,,,
1.58250320701047E+018,1048,,1.58250320700682E+018,-35,,1.58250320700873E+018,790,,,
1.58250320703364E+018,1048,,1.58250320702981E+018,-38,,1.58250320703161E+018,795,,,
1.58250320705515E+018,1021,,1.58250320705191E+018,-40,,1.58250320705342E+018,794,,,
1.58250320707683E+018,1029,,1.58250320707413E+018,-49,,1.58250320707552E+018,790,,,
1.58250320710117E+018,1040,,1.58250320709833E+018,-45,,1.58250320709974E+018,804,,,
1.58250320712257E+018,1036,,1.58250320711935E+018,-38,,1.58250320712101E+018,799,,,
1.58250320714612E+018,1048,,1.58250320714249E+018,-38,,1.58250320714444E+018,799,,,
1.58250320717035E+018,1033,,1.58250320716659E+018,-30,,1.58250320716829E+018,800,,,
1.58250320719162E+018,1053,,1.58250320718846E+018,-39,,1.58250320718987E+018,804,,,
1.58250320721403E+018,1052,,1.58250320721088E+018,-39,,1.58250320721249E+018,792,,,
1.58250320723711E+018,1036,,1.58250320723397E+018,-35,,1.58250320723554E+018,799,,,
1.5825032072609E+018,1040,,1.58250320725756E+018,-41,,1.58250320725908E+018,795,,,
1.5825032072827E+018,1076,,1.58250320727992E+018,-41,,1.58250320728139E+018,790,,,
1.58250320730518E+018,1038,,1.58250320730239E+018,-43,,1.58250320730366E+018,792,,,
1.58250320732735E+018,1038,,1.58250320732455E+018,-39,,1.58250320732593E+018,795,,,
1.58250320735154E+018,1039,,1.58250320734837E+018,-39,,1.58250320734987E+018,791,,,
1.58250320737347E+018,1042,,1.58250320737052E+018,-40,,1.58250320737196E+018,799,,,
1.58250320739655E+018,1042,,1.58250320739378E+018,-36,,1.58250320739524E+018,796,,,
1.58250320741858E+018,1050,,1.58250320741529E+018,-42,,1.58250320741699E+018,794,,,
1.58250320744337E+018,1052,,1.58250320743951E+018,-42,,1.5825032074414E+018,794,,,
1.5825032074662E+018,1051,,1.58250320746211E+018,-45,,1.58250320746416E+018,794,,,
1.58250320748772E+018,1054,,1.58250320748509E+018,-35,,1.58250320748633E+018,792,,,
1.58250320750945E+018,1033,,1.58250320750683E+018,-38,,1.58250320750816E+018,802,,,
1.58250320753227E+018,1049,,1.58250320752923E+018,-39,,1.58250320753079E+018,792,,,
1.58250320755666E+018,1052,,1.5825032075535E+018,-38,,1.58250320755522E+018,787,,,
1.58250320757926E+018,1047,,1.58250320757592E+018,-40,,1.58250320757763E+018,804,,,
1.58250320760055E+018,1036,,1.58250320759775E+018,-45,,1.58250320759923E+018,800,,,
1.58250320762346E+018,1044,,1.58250320762077E+018,-40,,1.5825032076221E+018,796,,,
1.58250320764669E+018,1048,,1.5825032076435E+018,-48,,1.58250320764525E+018,787,,,
1.5825032076705E+018,1044,,1.58250320766653E+018,-44,,1.5825032076686E+018,800,,,
1.5825032076924E+018,1027,,1.58250320768976E+018,-44,,1.5825032076911E+018,785,,,
1.58250320771387E+018,1053,,1.58250320771136E+018,-44,,1.58250320771256E+018,791,,,
1.58250320773712E+018,1066,,1.58250320773446E+018,-44,,1.58250320773574E+018,797,,,
1.58250320776034E+018,1046,,1.58250320775749E+018,-47,,1.58250320775886E+018,791,,,
1.58250320778445E+018,1035,,1.58250320778089E+018,-42,,1.58250320778236E+018,794,,,
1.58250320780554E+018,1051,,1.58250320780278E+018,-40,,1.58250320780415E+018,798,,,
1.58250320782853E+018,1060,,1.58250320782547E+018,-40,,1.58250320782692E+018,790,,,
1.5825032078524E+018,1052,,1.58250320784873E+018,-41,,1.58250320785064E+018,791,,,
1.58250320787544E+018,1056,,1.58250320787195E+018,-45,,1.58250320787376E+018,792,,,
1.58250320789631E+018,1051,,1.58250320789371E+018,-43,,1.5825032078951E+018,792,,,
1.58250320791957E+018,1051,,1.58250320791701E+018,-49,,1.58250320791833E+018,784,,,
1.5825032079429E+018,1047,,1.58250320794032E+018,-41,,1.58250320794161E+018,799,,,
1.58250320796594E+018,1038,,1.58250320796314E+018,-46,,1.58250320796451E+018,792,,,
1.58250320798885E+018,1050,,1.58250320798602E+018,-41,,1.58250320798735E+018,796,,,
1.58250320801117E+018,1033,,1.58250320800833E+018,-38,,1.58250320800976E+018,792,,,
1.58250320803376E+018,1039,,1.58250320803071E+018,-33,,1.58250320803224E+018,792,,,
1.58250320805719E+018,1036,,1.58250320805364E+018,-37,,1.58250320805525E+018,794,,,
1.58250320807923E+018,1035,,1.58250320807631E+018,-48,,1.58250320807771E+018,787,,,
1.58250320810215E+018,1043,,1.58250320809893E+018,-42,,1.58250320810061E+018,796,,,
1.58250320812461E+018,1035,,1.58250320812173E+018,-41,,1.58250320812308E+018,794,,,
1.58250320814814E+018,1068,,1.58250320814523E+018,-48,,1.58250320814676E+018,792,,,
1.58250320817032E+018,1050,,1.58250320816737E+018,-46,,1.58250320816889E+018,788,,,
1.58250320819234E+018,1047,,1.58250320818927E+018,-45,,1.58250320819078E+018,788,,,
1.58250320821735E+018,1055,,1.58250320821324E+018,-49,,1.58250320821549E+018,793,,,
1.58250320824048E+018,1040,,1.5825032082366E+018,-41,,1.58250320823872E+018,788,,,
1.58250320826185E+018,1058,,1.58250320825887E+018,-43,,1.5825032082605E+018,799,,,
1.58250320828306E+018,1050,,1.58250320828001E+018,-46,,1.58250320828183E+018,795,,,
1.58250320830668E+018,1053,,1.58250320830408E+018,-38,,1.58250320830539E+018,785,,,
1.58250320832884E+018,1047,,1.58250320832626E+018,-41,,1.58250320832761E+018,793,,,
1.5825032083533E+018,1057,,1.5825032083501E+018,-40,,1.58250320835171E+018,784,,,
1.58250320837507E+018,1045,,1.58250320837235E+018,-42,,1.58250320837363E+018,792,,,
1.58250320839844E+018,1034,,1.58250320839539E+018,-42,,1.58250320839695E+018,788,,,
1.58250320842308E+018,1039,,1.58250320841846E+018,-43,,1.58250320842087E+018,789,,,
1.58250320844615E+018,1040,,1.5825032084413E+018,-43,,1.58250320844392E+018,790,,,
1.58250320846903E+018,1044,,1.58250320846527E+018,-43,,1.5825032084673E+018,787,,,
1.58250320848807E+018,1038,,1.5825032084854E+018,-43,,1.58250320848669E+018,799,,,
1.58250320851197E+018,1043,,1.58250320850902E+018,-47,,1.5825032085105E+018,795,,,
1.58250320853491E+018,1043,,1.58250320853198E+018,-47,,1.58250320853347E+018,798,,,
1.58250320855775E+018,1043,,1.58250320855493E+018,-50,,1.58250320855623E+018,806,,,
1.58250320857951E+018,1036,,1.5825032085768E+018,-38,,1.58250320857811E+018,794,,,
1.58250320860265E+018,1065,,1.58250320859958E+018,-40,,1.58250320860106E+018,797,,,
1.58250320862694E+018,1039,,1.58250320862299E+018,-43,,1.58250320862481E+018,789,,,
1.58250320865058E+018,1050,,1.58250320864656E+018,-35,,1.58250320864837E+018,795,,,
1.58250320867117E+018,1049,,1.58250320866847E+018,-36,,1.58250320866985E+018,787,,,
1.58250320869314E+018,1038,,1.58250320869068E+018,-45,,1.58250320869191E+018,789,,,
1.5825032087164E+018,1046,,1.58250320871354E+018,-41,,1.58250320871499E+018,792,,,
1.58250320874133E+018,1071,,1.58250320873733E+018,-44,,1.58250320873935E+018,788,,,
1.58250320876404E+018,1032,,1.58250320876075E+018,-39,,1.58250320876242E+018,802,,,
1.5825032087865E+018,1043,,1.58250320878287E+018,-50,,1.58250320878465E+018,799,,,
1.58250320880974E+018,1049,,1.58250320880576E+018,-45,,1.58250320880748E+018,793,,,
1.58250320883219E+018,1053,,1.58250320882868E+018,-43,,1.58250320883046E+018,786,,,
1.58250320885315E+018,1032,,1.5825032088503E+018,-40,,1.58250320885167E+018,798,,,
1.58250320887534E+018,1037,,1.58250320887283E+018,-48,,1.58250320887404E+018,798,,,
1.58250320890245E+018,1037,,1.58250320889814E+018,-48,,1.58250320890021E+018,793,,,
1.58250320892217E+018,1048,,1.58250320891885E+018,-40,,1.58250320892058E+018,792,,,
1.58250320894526E+018,1057,,1.58250320894198E+018,-40,,1.58250320894347E+018,792,,,
1.58250320896736E+018,1047,,1.58250320896388E+018,-41,,1.58250320896543E+018,795,,,
