rosbagTimestamp,data
1540414929732795794,723.0
1540414929740276729,725.0
1540414929753987644,732.0
1540414929764998799,729.0
1540414929778240286,726.0
1540414929793732356,821.0
1540414929804069925,760.0
1540414929816705417,742.0
1540414929830757634,727.0
1540414929843890911,748.0
1540414929855043033,721.0
1540414929865773407,724.0
1540414929880012524,758.0
1540414929891407868,715.0
1540414929903633878,728.0
1540414929918677172,748.0
1540414929932089345,696.0
1540414929943317512,745.0
1540414929954753904,705.0
1540414929967630639,735.0
1540414929982537500,723.0
1540414929993810623,734.0
1540414930007614140,718.0
1540414930018439203,745.0
1540414930031228513,704.0
1540414930043857684,766.0
1540414930056135350,760.0
1540414930069650098,745.0
1540414930082130047,725.0
1540414930094391327,728.0
1540414930107563444,724.0
1540414930119067026,716.0
1540414930133240715,721.0
1540414930144204227,722.0
1540414930157746050,749.0
1540414930171055088,750.0
1540414930182610936,707.0
1540414930195646212,709.0
1540414930209193067,746.0
1540414930223580433,722.0
1540414930233215747,716.0
1540414930247163457,744.0
1540414930258403529,725.0
1540414930271265576,745.0
1540414930287132240,737.0
1540414930297812744,741.0
1540414930309914621,722.0
1540414930321903907,762.0
1540414930334021265,729.0
1540414930349578331,746.0
1540414930358986335,716.0
1540414930372690236,703.0
1540414930385036228,743.0
1540414930396809665,728.0
1540414930410963194,721.0
1540414930423890885,730.0
1540414930435148542,766.0
1540414930449126599,735.0
1540414930460584400,748.0
1540414930473937014,735.0
1540414930486423892,737.0
1540414930501902469,749.0
1540414930512176875,736.0
1540414930524545915,743.0
1540414930536414190,725.0
1540414930549367780,750.0
1540414930563566079,732.0
1540414930574960172,725.0
1540414930587837861,728.0
1540414930599914761,741.0
1540414930612545076,730.0
1540414930626106166,744.0
1540414930637144718,769.0
1540414930649228311,750.0
1540414930662580650,723.0
1540414930674848454,724.0
1540414930693412474,723.0
1540414930700644515,710.0
1540414930713174683,722.0
1540414930725692721,772.0
1540414930739387173,739.0
1540414930750577325,743.0
1540414930764029435,732.0
1540414930779911613,732.0
1540414930790621102,743.0
1540414930803748005,725.0
1540414930815779505,751.0
1540414930828655815,716.0
1540414930842998091,712.0
1540414930851991970,756.0
1540414930865500640,753.0
1540414930877534976,733.0
1540414930890849976,741.0
1540414930905039910,757.0
1540414930916106133,732.0
1540414930928360365,738.0
1540414930941550405,717.0
1540414930953942858,726.0
1540414930967692893,732.0
1540414930980186801,730.0
1540414930992185791,708.0
1540414931004867651,759.0
1540414931018071593,699.0
1540414931029932381,735.0
1540414931043525264,712.0
1540414931054595126,730.0
1540414931067815352,713.0
1540414931080253302,717.0
1540414931097021994,715.0
1540414931105015600,748.0
1540414931120121366,723.0
1540414931131027937,752.0
1540414931144137764,721.0
1540414931156356863,717.0
1540414931168353524,752.0
1540414931186101670,754.0
1540414931194177832,697.0
1540414931208168277,710.0
1540414931221255485,750.0
1540414931232900967,726.0
1540414931250177839,737.0
1540414931257735284,718.0
1540414931268824715,730.0
1540414931283822149,741.0
1540414931295788389,709.0
1540414931309106119,719.0
1540414931320467909,758.0
1540414931336057560,761.0
1540414931355178180,706.0
1540414931360004831,731.0
1540414931371085620,726.0
1540414931382867945,749.0
1540414931395832247,723.0
1540414931410567592,720.0
1540414931421662754,754.0
1540414931436274709,739.0
1540414931447388169,730.0
1540414931462518071,747.0
1540414931472525021,707.0
1540414931484702326,734.0
1540414931497792015,724.0
1540414931510858414,730.0
1540414931524410579,734.0
1540414931536513427,727.0
1540414931548227819,732.0
1540414931560569172,736.0
1540414931572966775,731.0
1540414931587743659,760.0
1540414931598315948,701.0
1540414931611100052,776.0
1540414931624171972,748.0
1540414931637234587,726.0
1540414931653236297,711.0
1540414931660935110,751.0
1540414931673908109,732.0
1540414931687819295,744.0
1540414931698449513,717.0
1540414931717982600,730.0
1540414931725311045,738.0
1540414931737043301,721.0
1540414931749853152,744.0
1540414931761162034,732.0
1540414931775203371,726.0
1540414931791032237,721.0
1540414931804181652,698.0
1540414931812720150,709.0
1540414931825361030,704.0
1540414931837858901,751.0
1540414931850597990,703.0
1540414931864635893,752.0
1540414931875963070,736.0
1540414931888755133,737.0
1540414931900792078,753.0
1540414931917219497,750.0
1540414931931125880,710.0
1540414931939810560,746.0
1540414931956789733,737.0
1540414931964704030,727.0
1540414931977343584,719.0
1540414931992692033,702.0
1540414932003097748,726.0
1540414932017767523,723.0
1540414932031981597,739.0
1540414932040661719,719.0
1540414932053662489,716.0
1540414932066659810,731.0
1540414932079478367,749.0
1540414932091756550,742.0
1540414932104165902,744.0
1540414932116352880,730.0
1540414932128736992,717.0
1540414932143165856,706.0
1540414932154773915,747.0
1540414932170472401,721.0
1540414932179487944,713.0
1540414932192660071,747.0
1540414932205556945,743.0
1540414932219063183,722.0
1540414932234682689,727.0
1540414932243751462,737.0
1540414932254814424,709.0
1540414932267505136,722.0
1540414932281454818,729.0
1540414932295764954,775.0
1540414932306313324,725.0
1540414932318856703,722.0
1540414932332415627,728.0
1540414932348836599,714.0
1540414932357763161,712.0
1540414932369444196,710.0
1540414932382020931,733.0
1540414932394674877,726.0
1540414932406956040,724.0
1540414932421965975,741.0
1540414932434070705,748.0
1540414932445113234,719.0
1540414932459014434,725.0
1540414932470584371,744.0
1540414932484439760,749.0
1540414932496415934,721.0
1540414932509820297,741.0
1540414932521342122,725.0
1540414932534434975,719.0
1540414932546702331,734.0
1540414932559844682,734.0
1540414932573890873,707.0
1540414932584465592,726.0
1540414932602767413,722.0
1540414932608713603,741.0
1540414932621870040,701.0
1540414932635203887,707.0
1540414932647962249,737.0
1540414932659820855,736.0
1540414932673268771,732.0
1540414932684864013,752.0
1540414932699618356,763.0
1540414932711571359,765.0
1540414932731629833,724.0
1540414932739360268,756.0
1540414932747902298,740.0
1540414932760783755,715.0
1540414932774705224,729.0
1540414932788594349,725.0
1540414932799428619,723.0
1540414932811582409,713.0
1540414932823972930,784.0
1540414932839332321,735.0
1540414932856073764,719.0
1540414932862557005,739.0
1540414932875247864,718.0
1540414932887433838,740.0
1540414932901922897,720.0
1540414932915265205,730.0
1540414932924871721,734.0
1540414932937892699,734.0
1540414932950642314,724.0
1540414932966194347,772.0
1540414932982367989,724.0
1540414932989472673,739.0
1540414933005499309,724.0
1540414933013911903,745.0
1540414933028485402,727.0
1540414933042283033,706.0
1540414933051599134,728.0
1540414933070173721,745.0
1540414933077631802,708.0
1540414933089787152,772.0
1540414933104250542,769.0
1540414933115044172,723.0
1540414933129762335,716.0
1540414933139532203,730.0
1540414933152322872,735.0
1540414933166240182,757.0
1540414933181639468,739.0
1540414933192217635,723.0
1540414933203255558,753.0
1540414933215898015,753.0
1540414933230832267,755.0
1540414933241482718,770.0
1540414933254851154,747.0
1540414933268207318,764.0
1540414933278142971,750.0
1540414933292634987,728.0
1540414933305628632,752.0
1540414933318856781,766.0
1540414933331125244,820.0
1540414933354291224,813.0
1540414933361325753,791.0
1540414933367949113,822.0
1540414933381042281,821.0
1540414933393774493,811.0
1540414933408096083,854.0
1540414933418671731,799.0
1540414933440463366,779.0
1540414933448131837,795.0
1540414933456615619,748.0
1540414933469843136,756.0
1540414933482652785,730.0
1540414933502841893,721.0
1540414933511896554,735.0
1540414933520716023,742.0
1540414933535138440,743.0
1540414933545118584,749.0
1540414933557295245,748.0
1540414933572009722,744.0
1540414933583849387,771.0
1540414933596201268,764.0
1540414933609095462,787.0
1540414933620544070,759.0
1540414933633629235,772.0
1540414933652310656,774.0
1540414933661395977,750.0
1540414933671623652,749.0
1540414933684198681,788.0
1540414933701601140,790.0
1540414933711834065,780.0
1540414933723836714,775.0
1540414933735778836,766.0
1540414933747645227,747.0
1540414933761688784,767.0
1540414933774210462,769.0
1540414933787039715,744.0
1540414933799028253,767.0
1540414933810323656,772.0
1540414933823639509,760.0
1540414933837714435,775.0
1540414933849026357,800.0
1540414933862025412,777.0
1540414933873708975,799.0
1540414933885004928,835.0
1540414933899910435,800.0
1540414933910889991,854.0
1540414933927208133,839.0
1540414933937161892,827.0
1540414933949033097,887.0
1540414933962794807,877.0
1540414933975274146,900.0
1540414933988458612,867.0
1540414934001020160,885.0
1540414934012766605,846.0
1540414934026186388,820.0
1540414934038430031,779.0
1540414934051935108,832.0
1540414934063335752,819.0
1540414934075691315,826.0
1540414934087936470,772.0
1540414934104378845,790.0
1540414934113746091,821.0
1540414934126580983,784.0
1540414934141656102,812.0
1540414934153692444,799.0
1540414934164912138,786.0
1540414934177120892,771.0
1540414934191527936,760.0
